 Z= 101 A= 227  Md beta2= 0.01 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.345876E-02  -3.723801E-16  -5.828671E-16  -7.255376E-16  -1.358965E-15   7.441993E-02  -3.878960E-16  -6.245005E-16  -4.503337E-16  -2.946809E-15
   0.100   7.365194E-02  -3.981995E-07  -6.210572E-10  -6.678699E-14  -1.101477E-15   7.429376E-02   9.927245E-07   6.604980E-10   1.160485E-13   2.288783E-16
   0.200   7.422337E-02  -1.540881E-06  -9.828761E-09  -4.332873E-12  -2.188649E-15   7.391961E-02   3.910225E-06   1.045234E-08   7.514168E-12   1.516319E-15
   0.300   7.514908E-02  -3.275603E-06  -4.885768E-08  -4.870091E-11  -1.284580E-14   7.331047E-02   8.573822E-06   5.194788E-08   8.496968E-11   3.574794E-14
   0.400   7.639040E-02  -5.359216E-06  -1.505063E-07  -2.687177E-10  -1.485993E-13   7.248743E-02   1.469676E-05   1.599595E-07   4.720182E-10   3.093577E-13
   0.500   7.789577E-02  -7.473853E-06  -3.554910E-07  -1.001441E-09  -8.648311E-13   7.147900E-02   2.190043E-05   3.775141E-07   1.774151E-09   1.850152E-12
   0.600   7.960321E-02  -9.248494E-06  -7.078038E-07  -2.906406E-09  -3.603976E-12   7.032006E-02   2.973638E-05   7.505869E-07   5.201701E-09   7.810144E-12
   0.700   8.144320E-02  -1.028518E-05  -1.249490E-06  -7.086449E-09  -1.210555E-11   6.905063E-02   3.771328E-05   1.321952E-06   1.283376E-08   2.614600E-11
   0.800   8.334202E-02  -1.018865E-05  -2.015307E-06  -1.518913E-08  -3.426420E-11   6.771437E-02   4.532788E-05   2.124590E-06   2.787680E-08   7.404413E-11
   0.900   8.522518E-02  -8.597673E-06  -3.027751E-06  -2.946894E-08  -8.504025E-11   6.635694E-02   5.209838E-05   3.175148E-06   5.488532E-08   1.842693E-10
   1.000   8.702093E-02  -5.216302E-06  -4.292892E-06  -5.279522E-08  -1.905119E-10   6.502430E-02   5.759872E-05   4.468004E-06   9.990948E-08   4.134892E-10
   1.100   8.866359E-02   1.573744E-07  -5.797404E-06  -8.859567E-08  -3.922011E-10   6.376086E-02   6.149154E-05   5.970453E-06   1.705374E-07   8.528872E-10
   1.200   9.009650E-02   7.607110E-06  -7.507071E-06  -1.407324E-07  -7.522138E-10   6.260776E-02   6.355784E-05   7.619541E-06   2.758041E-07   1.639964E-09
   1.300   9.127459E-02   1.708131E-05  -9.366938E-06  -2.133128E-07  -1.358603E-09   6.160121E-02   6.372095E-05   9.320949E-06   4.259483E-07   2.970791E-09
   1.400   9.216620E-02   2.838465E-05  -1.130312E-05  -3.104480E-07  -2.330329E-09   6.077106E-02   6.206267E-05   1.095024E-05   6.320092E-07   5.111517E-09
   1.500   9.275429E-02   4.117979E-05  -1.322619E-05  -4.359741E-07  -3.819988E-09   6.013956E-02   5.882982E-05   1.235659E-05   9.052667E-07   8.408633E-09
   1.600   9.303678E-02   5.499996E-05  -1.503594E-05  -5.931553E-07  -6.016404E-09   5.972055E-02   5.442970E-05   1.336903E-05   1.256549E-06   1.329435E-08
   1.700   9.302614E-02   6.927193E-05  -1.662713E-05  -7.843935E-07  -9.142965E-09   5.951894E-02   4.941399E-05   1.380481E-05   1.695438E-06   2.028812E-08
   1.800   9.274822E-02   8.334834E-05  -1.789596E-05  -1.010962E-06  -1.345497E-08   5.953074E-02   4.445110E-05   1.347967E-05   2.229425E-06   2.999024E-08
   1.900   9.224030E-02   9.654722E-05  -1.874673E-05  -1.272784E-06  -1.923094E-08   5.974338E-02   4.028819E-05   1.221924E-05   2.863067E-06   4.306968E-08
   2.000   9.154868E-02   1.081959E-04  -1.909833E-05  -1.568272E-06  -2.676379E-08   6.013656E-02   3.770475E-05   9.870979E-06   3.597217E-06   6.024150E-08
   2.100   9.072571E-02   1.176760E-04  -1.889011E-05  -1.894235E-06  -3.634479E-08   6.068341E-02   3.746072E-05   6.315734E-06   4.428375E-06   8.223881E-08
   2.200   8.982666E-02   1.244656E-04  -1.808675E-05  -2.245855E-06  -4.824902E-08   6.135197E-02   4.024239E-05   1.478275E-06   5.348237E-06   1.097738E-07
   2.300   8.890649E-02   1.281760E-04  -1.668179E-05  -2.616753E-06  -6.271404E-08   6.210688E-02   4.660999E-05  -4.664074E-06   6.343466E-06   1.434959E-07
   2.400   8.801673E-02   1.285786E-04  -1.469967E-05  -2.999115E-06  -7.992168E-08   6.291127E-02   5.695090E-05  -1.207528E-05   7.395739E-06   1.839412E-07
   2.500   8.720271E-02   1.256215E-04  -1.219592E-05  -3.383907E-06  -9.997371E-08   6.372849E-02   7.144186E-05  -2.065742E-05   8.482065E-06   2.314852E-07
   2.600   8.650122E-02   1.194332E-04  -9.255546E-06  -3.761146E-06  -1.228742E-07   6.452392E-02   9.002335E-05  -3.025071E-05   9.575385E-06   2.862899E-07
   2.700   8.593881E-02   1.103127E-04  -5.989593E-06  -4.120240E-06  -1.485092E-07   6.526652E-02   1.123882E-04  -4.063693E-05   1.064542E-05   3.482587E-07
   2.800   8.553076E-02   9.870893E-05  -2.529921E-06  -4.450385E-06  -1.766338E-07   6.593005E-02   1.379858E-04  -5.154595E-05   1.165974E-05   4.169953E-07
   2.900   8.528080E-02   8.518874E-05   9.775612E-07  -4.741017E-06  -2.068575E-07   6.649406E-02   1.660410E-04  -6.266518E-05   1.258501E-05   4.917762E-07
   3.000   8.518152E-02   7.039798E-05   4.380862E-06  -4.982281E-06  -2.386446E-07   6.694447E-02   1.955880E-04  -7.365144E-05   1.338829E-05   5.715295E-07
   3.100   8.521553E-02   5.501776E-05   7.530707E-06  -5.165529E-06  -2.713161E-07   6.727379E-02   2.255165E-04  -8.414457E-05   1.403847E-05   6.548337E-07
   3.200   8.535716E-02   3.971968E-05   1.028959E-05  -5.283807E-06  -3.040607E-07   6.748099E-02   2.546259E-04  -9.378231E-05   1.450756E-05   7.399321E-07
   3.300   8.557462E-02   2.512357E-05   1.254048E-05  -5.332277E-06  -3.359590E-07   6.757106E-02   2.816873E-04  -1.022156E-04   1.477205E-05   8.247630E-07
   3.400   8.583251E-02   1.176068E-05   1.419452E-05  -5.308587E-06  -3.660127E-07   6.755431E-02   3.055063E-04  -1.091240E-04   1.481402E-05   9.070123E-07
   3.500   8.609440E-02   4.513171E-08   1.519704E-05  -5.213094E-06  -3.931914E-07   6.744544E-02   3.249850E-04  -1.142298E-04   1.462209E-05   9.841766E-07
   3.600   8.632547E-02  -9.744431E-06   1.553129E-05  -5.048945E-06  -4.164773E-07   6.726253E-02   3.391799E-04  -1.173116E-04   1.419225E-05   1.053652E-06
